EQUIP-DESIGNATION,EQUIP-LOCATION,EQUIP-ELEC-PROP
AMB01,A1002-2,2000AR/1200AT/208V/3P/4W
ADIS6,A1005,30AR/20AF120/208V/3PH/4W
ADIS5,A1005,30AR/20AF120/208V/3PH/4W
ADIS4,A1005,30AR/20AF120/208V/3PH/4W
ADIS3,A1005,30AR/20AF120/208V/3PH/4W
ADIS2,A1005,30AR/20AF120/208V/3PH/4W
ADIS1,A1005,30AR/20AF120/208V/3PH/4W
ADIS23,A1005,400A120/208V/3PH/4W
ADIS22,A1005,400A120/208V/3PH/4W
ADIS16,A1005,60AR/45AF120/208V/3PH/4W
ADIS18,A1005,200AR/200AF120/208V/3PH/4W
APP02,A1005,100AR/AT120/208V/2PH/3W
APP01,A1005,225AR/150AF120/208V/3PH/4W
ADIS25,A1005,200AR/150AF120/208V/3PH/4W
ADIS21,A1005,400AR/250AF120/208V/3PH/4W
ADIS24,A1005,100AR/70AF120/208V/3PH/4W
ADIS17,A1005,200AR/150AF120/208V/3PH/4W
ADIS14,A1005,200AR/150AF120/208V/3PH/4W
AMB08,A1005,800AR/AT120/208V/3PH/4W
AMB06,A1005,100AR/AT120/208V/3PH/4W
AMB02,A1005,800AR/AT120/208V/3PH/4W
ADIS09,A1005E,30AR/30NF600V/1/2W
ADIS10,A1005E,60AR/40AF120/208V2PH/3W
ATR01,A1005E,7.5KVA600V/120/208V
APP25-CCT1/3/5,A1007-1,100AR/AT120/208V/3PH/4W
APP25,A1007-1,225AR/150AF120/208V/3PH/4W
APP20,A1015,225AR/70AT120/208V/3PH/4W
APP21,A1025,225AR/150AF120/208V/3PH/4W
APP19,A1029,225AR/150AF120/208V/3PH/4W
APP13-CCT25/27/29,A1039-C,70AR/AT120/208V/3PH/4W
APP13,A1039-C,225AR/70AF120/208V/3PH/4W
APP24,A1047-7,225AR/100AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
AELEVATOR,A2002-2,200AR/175AF120/208V/3PH/4W
ADIS76,A3001,10AR/AT120/208V/3PH/4W
ADIS77,A3001,30AR/15AF120/208V/3PH/4W
ADIS78,A3001,30AR/15AF120/208V/3PH/4W
ADIS79,A3001,60AR/15AF120/208V/3PH/4W
ADIS80,A3001,60AR/40AF120/208V/3PH/4W
ADIS81,A3001,30AR/15AF120/208V/3PH/4W
ADIS82,A3001,30AR/15AF120/208V/3PH/4W
ADIS83,A3001,30AR/15AF120/208V/3PH/4W
ADIS84,A3001,30AR/15AF120/208V/3PH/4W
ADIS85,A3001,30AR/30AF120/208V/3PH/4W
ADIS88,A3001,60AR/15AF120/208V/3PH/4W
ADIS86,A3001,30AR/15AF120/208V/3PH/4W
ADIS89,A3001,60AR/60AF120/208V/3PH/4W
ASUBHVSW,ASITE,27600V/3P
ASUBTRANSFORMER,ASITE,1000kVA/27600V/208V/3P/4W
BPP29,B1001,100AR/AMB347/600V3P/4W
BPP27,B1001,400AR120/208V/3PH/4W
BPP28,B1001,100AR120/208V/3PH/4W
BEP01,B1001-MEZZ,150AR/AT120/208V/3PH/4W
BDIS29,B1001-MEZZ,60AR/AT347/600V/3PH/4W
BDIS28,B1001-MEZZ,100AR/AT347/600V/3PH/3W
BDIS27,B1001-MEZZ,90AR/AT347/600V/3PH/3W
BTR10,B1001-MEZZ,112.5kVA600V>120/208V3P/4W
BDIS26,B1001-MEZZ,125AR/AT347/600V/3PH/3W
BPP26-BKR62/64/66,B1002,50AR/AT120/208V/3PH/4W
BPP200,B1002,225AR/50AT120/208V/3PH/4W
BPP26,B1002,600AR120/208V/3PH/4W
BTR09,B1002-MEZZ,75kVA600V>120/208V3P/4W
BDIS31,B1002-MEZZ,100AR/NF347/600V/3PH/3W
BPP17,B1005-1,70AR/AF120/208V/2PH/3W
BPP21,B1005-C,100AR/90AT120/208V/3PH/4W
BPP31,B1006,50AR/AMB120/208V/3PH/4W
BPP30,B1006,200AR/90AMB120/208V/3PH/4W
BTR11,B1006-MEZZ,30kVA600V>120/208V3P/4W
BDIS32,B1006-MEZZ,60AR/NF347/600V/3PH/4W
BPP32,B1007,225AR/125AT120/208V/3PH/4W
BEP02,B1007-1,225AR/150AT120/208V/3PH/4W
BPP25,B1007-C,100AR/90AT120/208V/3PH/4W
BPP24,B1007-C,100AR/70AT120/208V/3PH/4W
BPP34,B1009,225AR/150AT120/208V/3PH/4W
BPP35,B1010,225AR120/208V/3PH/4W
BPP38,B1010,225AR/175AT0TO125VDC
BVC01,B1010,175AMB0TO125VDC
BTR12,B1010,45kVA208V>120/208V3P/4W
BPP36,B1010,150AR/AF120/208V/3PH/4W
BPP37,B1010,150AR/AF120/208V/3PH/4W
BDIS34,B1010,20AR/150AF120/208V/3PH/4W
BDIS35,B1010,200AR/150AF120/208V/3PH/4W
BDIS36,B1010,200AR/175AF120/208V/3PH/3W
BDIS33,B1010,400AR/250AT120/208V/3PH/4W
BDIS38-D,B1011,100AR/AF347/600V/3PH/3W
BPP41,B1011-6,200AR/100AMB120/208V/3PH/4W
BPP40,B1011-6,200AR/150AMB120/208V/3PH/4W
BDIS38-B,B1011-MEZZ,30AR/15AF347/600V/3PH/3W
BDIS38-A,B1011-MEZZ,30AR/15AF347/600V/3PH/3W
BTR14,B1011-MEZZ,45kVA600V>120/208V3P/4W
BDIS40,B1011-MEZZ,60AR/NF347/600V/3PH/3W
BDIS39,B1011-MEZZ,60AR/AF347/600V/3PH/3W
BDIS38-C,B1011-MEZZ,100AR/AF347/600V/3PH/3W
BDIS37,B1011-MEZZ,200AR/AF347/600V/3PH/3W
BEPO3,B1011-MEZZ,150AR/AT120/208V/3PH/4W
BPP39,B1012,225AR120/208V/3PH/4W
BPP44-BKR38/40/42,B1013,100AR/AT120/208V/3PH/4W
BPP45,B1013,225AR/100AT120/208V/3PH/4W
BPP44,B1013,225AR120/208V/3PH/4W
BWELDSTNS_11-20,B1013-4,30AR/AT347/600V/2PH
BWELDSTNS_1-10,B1013-4,30AR/AT347/600V/2PH
BWELDSTNS_1-10_BKR,B1013-4,30AR/AT347/600V/2PH
BWELDSTNS_11-20_BKR,B1013-4,30AR/AT347/600V/2PH
BPP-07,B1013-4,250AR/200AT347/600V3P/3W
BPP-08,B1013-4,250AR/200AT347/600V3P/3W
BPP201-BKR32/34/36,B1013-4,200AR/AT347/600V/3PH/4W
BPP201-BKR38/40/42,B1013-4,200AR/AT347/600V/3PH/4W
BPP46-BKR37/39/41,B1013-4,400AR/AT347/600V/3PH/4W
BPP46-BKR7/9/11,B1013-4,70AR/AT347/600V/3PH/3W
BPP46-MAINBKR,B1013-4,600AR/AT347/600V/3PH/4W
BPP42,B1013-C,100AR/70AT120/208V/3PH/4W
BPP43,B1013-C,100AR/50AT120/208V/3PH/4W
BPP43-BKR7/9/11,B1013-C,40AR/AT120/208V/3PH/4W
BTR15,B1013-MEZZ,75kVA600V>120/208V3P/4W
BPP49,B1014,400AR/300AMB120/208V/3PH/4W
BPP48,B1014,600AR/400AMB120/208V/3PH/4W
BDIS43,B1014-2,200AR/AT120/208V/3PH/4W
BPP47,B1015,250AR/AT347/600V/3PH/4W
BDIS45,B1015-MEZZ,400AR/AT120/208V/3PH/4W
BTR16,B1015-MEZZ,225kVA600V>120/208V3P/4W
BDIS42,B1015-MEZZ,200AR/AF347/600V/3PH/4W
BDIS41,B1015-MEZZ,250AR/AT347/600V/3PH/3W
BEP04,B1015-MEZZ,150AR/AT120/208V/3PH/4W
BPP51,B1016,400AR/AMB120/208V/3PH/4W
BPP202,B1016,225AR/AT347/600V/3PH/3W
BPP54,B1017,150AR/AT120/208V/3PH/4W
BPP53,B1018-C,200AR/AT120/208V/3PH/4W
BPP52,B1018-C,100AR/40AT120/208V/3PH/4W
BPP55,B1020,150AR/AT120/208V/3PH/4W
BPP61,B1023,150AR/AT120/208V/3PH/4W
BPP56,B1024,400AR/300AF120/208V/3PH/4W
BDIS56,B1024-MEZZ,400AR/300AF120/208V/3PH/4W
BDIS55,B1024-MEZZ,200AR/150AF120/208V/3PH/4W
BDIS51,B1024-MEZZ,100AR/AF120/208V/3PH/4W
BDIS52,B1024-MEZZ,200AR/AT120/208V/3PH/4W
BTR17,B1024-MEZZ,150kVA600V>120/208V/3PH/4W
BEP06,B1024-MEZZ,225AR120/208V/3PH/4W
BDIS57,B1028,100AR/AF120/208V/3PH/4W
BPP58,B1028,225AR/100AF120/208V/3PH/4W
BPP57,B1030-1,225AR/150AF120/208V/3P/4W
BPP62,B1031-C,200AR/AT120/208V/3PH/4W
BPP64,B1032,225AR120/208V/3PH/4W
BPP63,B1033,225AR120/208V/3PH/4W
BMB88,B1034,200AR/AT347/600V/3PH/4W
BMB93,B1034,400AR/AT347/600V/3PH/4W
BMB03,B1034,800AR/700AT347/600V/3PH/4W
BMB03,B1034,800AR/700AT347/600V/3PH/4W
BMB03,B1034,800AR/700AT347/600V/3PH/4W
BMB93,B1034,400AR/AT347/600V/3PH/4W
BMB92,B1034,400AR/AT347/600V/3PH/4W
BMB105,B1034,150AR/AT120/208V/3PH/4W
BMB104,B1034,150AR/AT120/208V/3PH/4W
BPP01,B1034,225AR120/208V/3PH/4W
BMB103,B1034,150AR/AT120/208V/3PH/4W
BMB102,B1034,150AR/AT120/208V/3PH/4W
BMB100,B1034,150AR/AT120/208V/3PH/4W
BMB98,B1034,150AR/AT120/208V/3PH/4W
BMB03,B1034,800AR/700AT347/600V/3PH/4W
BTR01,B1034,150kVA600V-120/208V3PH/4W
BMB91,B1034,250AR/200AT347/600V/3PH/4W
BMB90,B1034,400AR/AT347/600V/3PH/4W
BMB74,B1034,100AR/100AT347/600V/3PH/4W
BMB08,B1034,800AR/AT347/600V/3PH/4W
BMB07,B1034,1200AR/1000AT347/600V/3PH/4W
BMB04,B1034,800AR/600AT347/600V/3PH/4W
BMB03,B1034,800AR/700AT347/600V/3PH/4W
BMB02,B1034,2000AR/1200AT347/600V/3PH/4W
BTB01,B1034,2000AR/1200AT347/600V/3PH/4W
BMB01,B1034,2000AR/1200AT347/600V/3PH/4W
BPP04,B1037,225AR120/208V/3PH/4W
BPP05,B1037,225AR120/208V/3PH/4W
BLP01,B1037,100AR/AT347/600V/3PH/4W
BDIS102,B1039,100A/600V/3PH/4W
BDIS103,B1039,60A/600V/3PH/4W
BMS18_LD,B1039,37kW/93%eff/1765rpm/47A/0.85pf
BMS19_LD,B1039,37A/1780rpm/575V/93%eff/87.7pf
BMS17_LD,B1039,37kW/93%eff/1765rpm/47A/0.85pf
BDIS101,B1039,100A/600V/3PH/4W
BMS17,B1039,100AR/90AF347/600V/3PH/4W
BMS18,B1039,100AR/90AF347/600V/3PH/4W
BMS19,B1039,100AR/70AF347/600V/3PH/4W
BMS20,B1039,100AR/15AF347/600V/3PH/4W
BMS21,B1039,100AR/15AF347/600V/3PH/4W
BPP02,B1039,225AR120/208V/3PH/4W
BDIS48,B1041,100AR/70AF120/208V/3PH/4W
BPP13,B1041,250AR/150AT120/208V/3PH/4W
BDIS47,B1041-2,100AR/80AF120/208V/3PH/4W
BDIS46,B1041-2,100AR/80AF120/208V/3PH/4W
BMB21,B1041-4,300AR/AT347/600V/3PH/4W
BMB20,B1041-4,200AR/AT347/600V/3PH/4W
BMB19,B1041-4,200AR/AT347/600V/3PH/4W
BMB18,B1041-4,100AR/AT347/600V/3PH/4W
BMB163,B1041-4,200AR/AT120/208V/3PH/4W
BMB161,B1041-4,200AR/AT120/208V/3PH/4W
BTR03,B1041-4,150kVA600V>120/208V3P/4W
BMB17,B1041-4,250AR/150AT347/600V/3PH/4W
BMB41,B1041-4,1200AR/AT347/600V/3PH/3W
BMB24,B1041-4,400AR/AT347/600V/3PH/4W
BSDP10-BKR05,B1041-4,90AR/AT120/208V/3PH/4W
BPP12,B1041-4,250AR/150AT120/208V/3PH/4W
BSDP10-BKR08,B1041-4,100AR/AT120/208V/3PH/4W
BSDP10-BKR04,B1041-4,150AR/AT120/208V/3PH/4W
BSDP10-BKR03,B1041-4,150AR/AT120/208V/3PH/4W
BSDP10-BKR02,B1041-4,150AR/AT120/208V/3PH/4W
BSDP10-BKR01,B1041-4,200AR/AT120/208V/3PH/4W
BTR02,B1041-4,150kVA600V>120/208V3P/4W
BMB52,B1041-4,250AR/175AT347/600V/3PH/4W
BMB42,B1041-4,600AR/AT347/600V/3PH/4W
BMB28,B1041-4,600AR/AT347/600V/3PH/3W
BMB27,B1041-4,600AR/500AT347/600V/3PH/4W
BMB26,B1041-4,600AR/300AT347/600V/3PH/3W
BMB25,B1041-4,600AR/400AT347/600V/3PH/3W
BMB23,B1041-4,300AR/AT347/600V/3PH/4W
BMB22,B1041-4,400AR/AT347/600V/3PH/4W
BPP09,B1041-4,70AR120/208V/3PH/4W
BTR04,B1041-4,15kVA600>120/208V3P/4W
BEDP01-BKR06,B1041-4,50AR/AT347/600V/3PH/4W
BEDP01-BKR04,B1041-4,40AR/AT347/600V/3PH/4W
BEDP01-BKR03,B1041-4,20AR/AT347/600V/3PH/4W
BEDP01-BKR02,B1041-4,40AR/AT347/600V/3PH/4W
BEDP01-BKR01,B1041-4,70AR/AT347/600V/3PH/4W
BATS01,B1041-4,225AR/100AT347/600VV/3PH/4W
BATS01,B1041-4,225AR/100AT347/600VV/3PH/4W
BPP06,B1041-7,100AR/AT120/208V/3PH/4W
BPP14,B1049,225AR/150AT120/208V/3PH/4W
BPP110,B1051,225AR/150AT120/208V/3PH/4W
BTR20,B1055,10kVA208V>120/208V2P/3W
BPP67,B1055,100AR120/208V/2PH/3W
BPP111,B1055,200AR120/208V/3PH/4W
BTR111,B1055,45kVA600>120/208V3PH/4W
BDIS111,B1055,60AR/50AF347/600V/3PH/4W
BPP81,B1059-C,200AR/150AT120/208V/3PH/4W
BPP68,B1059-C,225AR/125AT120/208V/3PH/4W
BPP79,B1062-C,200AR/150AT120/208V/3PH/4W
BPP83,B1065-C,200AR/AT120/208V/3PH/4W
BPP82,B1071,225AR/200AT120/208V/3PH/4W
BPP69,B1078,225AR/125AT120/208V/3PH/4W
BPP71,B1078-C,225AR/125AT120/208V/3PH/4W
BPP70,B1078-C,225AR/125AT120/208V/3PH/4W
BPP66-BKR18/20/22,B1078-C,40AR/AT120/208V/3PH/4W
BPP66,B1078-C,100AR/70AT120/208V/3PH/4W
BPP16_BKR,B1081-2,200AR/AT120/208V/3PH/4W
BPP15_BKR,B1081-2,200AR/AT120/208V/3PH/4W
BPP16,B1081-2,200AR/AT120/208V/3PH/4W
BPP15,B1081-2,200AR/AT120/208V/3PH/4W
BPP20,B1082,200AR/175AT120/208V/3PH/4W
BPP19-BKR1/3/5,B1082-4,175AR/AT120/208V/3PH/4W
BPP19,B1082-4,400AR/AT120/208V/3PH/4W
BPP72,B1082-C,100AR/50AT120/208V/3PH/4W
BPP76,B2010-C,100AR/AT120/208V/3PH/4W
BPP85,B2015,200AR/AT120/208V/3PH/4W
BPP75,B2015,100AR/40AT120/208V/3PH/4W
BPP88,B2015-5,200AR/AT120/208V/3PH/4W
BPP86,B2026,225AR/200AT120/208V/3PH/4W
BPP84,B2029,225AR/100AF/AMB120/208V/3PH/4W
BPP77,B2035-C,225AR/125AT120/208V/3PH/4W
BPP73,B2035-C,225AR/150AT120/208V/3PH/4W
BPP74,B2035-C,100AR/70AT120/208V/3PH/4W
BPP74-BKR11/13/15,B2035-C,40AR/AT120/208V/2PH/3W
BMB240,B2041-1,200AR/AT120/208V/3PH/4W
BPP67,B2041-1,100AR/AT120/208V/3PH/4W
BMB228,B2041-1,150AR/AT120/208V/3PH/4W
BMB226,B2041-1,150AR/AT120/208V/3PH/4W
BMB225,B2041-1,150AR/AT120/208V/3PH/4W
BMB224,B2041-1,150AR/AT120/208V/3PH/4W
BMB223,B2041-1,150AR/AT120/208V/3PH/4W
BMB221,B2041-1,100AR/AT120/208V/3PH/4W
BTR18,B2041-1,150kVA600V>120/208V3PH/4W
BMB141,B2041-1,175AR/AT347/600V/3PH/4W
BMB148,B2041-1,225AR/AT347/600V/3PH/4W
BMB140,B2041-1,175AR/AT347/600V/3PH/4W
BMB150,B2041-1,400AR/AT347/600V/3PH/4W
BMB69,B2042,150AR/AT120/208V/3PH/4W
BMB66,B2042,150AR/AT120/208V/3PH/4W
BEP05,B2042,150AR120/208V/3PH/4W
BMB73,B2042,150AR/AT120/208V/3PH/4W
BMB72,B2042,150AR/AT120/208V/3PH/4W
BMB71,B2042,200AR/AT120/208V/3PH/4W
BMB68,B2042,150AR/AT120/208V/3PH/4W
BMB67,B2042,150AR/AT120/208V/3PH/4W
BMB65,B2042,150AR/AT120/208V/3PH/4W
BDIS21,B2042,100AR/70AF120/208V/2PH/3W
BMB51,B2042,800AR/AT347/600V/3PH/4W
BSDP12-BKR08,B2042,100AR/AT120/208V/3PH/4W
BSDP12-BKR05,B2042,70AR/AT120/208V/3PH/4W
BSDP12-BKR04,B2042,90AR/AT120/208V/3PH/4W
BSDP12-BKR03,B2042,90AR/AT120/208V/3PH/4W
BMB62,B2042,250AR/AT120/208V/3PH/4W
BSDP12-BKR01,B2042,400AR/AT120/208V/3PH/4W
BMB64,B2042,150AR/AT120/208V/3PH/4W
BTR07,B2042,225kVA600V>120/208V3P/4W
BMB57,B2042,250AR/175AT347/600V/3PH/3W
BTR06,B2042,150kVA600V>120/208V3P/4W
BMB53,B2042,300AR/AT347/600V/3PH/3W
BMB52,B2042,600AR/AT347/600V/3PH/3W
BSDP11-BKR20,B2042,15AR/AT347/600V/3PH/3W
BPP23-BKR02,B2042,50AR/AT120/208V/3PH/4W
BPP23-BKR01,B2042,70AR/AT120/208V/3PH/4W
BTR08,B2042,30kVA600>120/208V/3PH/4W
BDIS22,B2042,100AR/70AT347/600V/3PH/4W
BMB115_LD,B2043,50HP/600V/3PH/4W
BDIS83,B2043,200AR/125AF347/600V/3PH/4W
BDIS82,B2043,200AR/125AF347/600V/3PH/4W
BDIS76,B2043,400AR/AT347/600V/3PH/4W
BMB123,B2043,150AR/AT347/600V/3PH/4W
BMB122,B2043,150AR/AT347/600V/3PH/4W
BMB115,B2043,100AR/AT347/600V/3PH/4W
BMB114,B2043,15AR/AT347/600V/3PH/4W
BMB128,B2043,400AR/AT347/600V/3PH/4W
BPP03,B2043,225AR120/208V/3PH/4W
BMB175,B3001,400AR/AT347/600V/3PH/3W
BPP78,B3001,100AR/50AT120/208V/3PH/4W
BMB204,B3001,50AR/AT120/208V/3PH/4W
BMB203,B3001,50AR/AT120/208V/3PH/4W
BMB200,B3001,150AR/AT120/208V/3PH/4W
BMB197,B3001,100AR/AT120/208V/3PH/4W
BMB196,B3001,125AR/AT120/208V/3PH/4W
BMB195,B3001,150AR/AT120/208V/3PH/4W
BMB194,B3001,125AR/AT120/208V/3PH/4W
BMB193,B3001,125AR/AT120/208V/3PH/4W
BMB192,B3001,125AR/AT120/208V/3PH/4W
BMB191,B3001,125AR/AT120/208V/3PH/4W
BTR22,B3001,45kVA600V>120/208V3P/4W
BMB185,B3001,400AR/AT347/600V/3PH/3W
BMB178,B3001,60AR/AT347/600V/3PH/3W
BEP10,B3001,100AR/AMB120/208V/3PH/4W
BTR21,B3001,225kVA600V>120/208V3P/4W
BMB176,B3001,250AR/AT347/600V/3PH/4W
BPP65-BKR02,B3001,50AR/AT347/600V/3PH/4W
BPP65-BKR01,B3001,70AR/AT120/208V/3PH/4W
BDIS143,B3001,60AR/NF347/600VV/3PH/3W
BTR19,B3001,30kVA600V>120/208V3P/4W
BDIS141,B3001,40AR/AT347/600V/3PH/3W
BDIS142,B3001,40AR/AT347/600V/3PH/3W
BDIS140,B3001,70AR/AT347/600V/3PH/4W
BPP89,B3003-1,70AR/AMB120/208V/3PH/4W
BDIS158,B3003-1,100AR/AF120/208V/3PH/4W
BDIS156,B3003-1,225AR/200AT120/208V/3PH/4W
BDIS155,B3003-1,225AR/200AT120/208V/3PH/4W
BDIS154,B3003-1,225AR/200AT120/208V/3PH/4W
BDIS153,B3003-1,225AR/200AT120/208V/3PH/4W
BDIS152,B3003-1,225AR/200AT120/208V/3PH/4W
BDIS151,B3003-1,225AR/150AT120/208V/3PH/4W
BDIS150,B3003-1,225AR/150AT120/208V/3PH/4W
BTR23,B3003-1,225kVA600V>120/208V3P/4W
BMB209,B3003-1,225AR/AT347/600V/3PH/3W
BMB207,b3003-1,250AR/AT347/600V/3PH/3W
B_BLOCK_TX2,BBLDG,600V3P/4W
B_BLOCK_TX1,BBLDG,600V3P/4W
CDIS10,C1001,30AR/AF/600V/3PH/3W
CPP12,C1004,60AR/AT120/208V/3PH/4W
CPP14,C1004,125AR/70AT120/208V/3PH/4W
CPP13,C1004,100AR/AT120/208V/3PH/4W
